experiment  strain	umi_threshhold	anal_folder
P4C2T4T5	ST1	1	umi_thold1
P4C2T4T5	ST2	1	umi_thold1
P4C2T4T5	ST4	1	umi_thold1
P4C2T4T5	ST5	1	umi_thold1
P4C2T4T5	ST6	1	umi_thold1
P4C1T8	c1_ST1	1	umi_thold1
P4C1T8	c1_ST2	1	umi_thold1
P4C1T8	c1_ST5	1	umi_thold1
P4C1T8	c1_ST6	1	umi_thold1
P4C1T8	c2_ST1	1	umi_thold1
P4C1T8	c2_ST2	1	umi_thold1
P4C1T8	c2_ST5	1	umi_thold1
P4C1T8	c2_ST6	1	umi_thold1
P4C1T8	c3_ST1	1	umi_thold1
P4C1T8	c3_ST2	1	umi_thold1
P4C1T8	c3_ST5	1	umi_thold1
P4C1T8	c3_ST6	1	umi_thold1
P4C1T8	c4_ST1	1	umi_thold1
P4C1T8	c4_ST2	1	umi_thold1
P4C1T8	c4_ST5	1	umi_thold1
P4C1T8	c4_ST6	1	umi_thold1
P4C1T8	c5_ST1	1	umi_thold1
P4C1T8	c5_ST2	1	umi_thold1
P4C1T8	c5_ST4	1	umi_thold1
P4C2T4T5	ST1	2	umi_thold2
P4C2T4T5	ST2	2	umi_thold2
P4C2T4T5	ST4	2	umi_thold2
P4C2T4T5	ST5	2	umi_thold2
P4C2T4T5	ST6	2	umi_thold2
P4C1T8	c1_ST1	2	umi_thold2
P4C1T8	c1_ST2	2	umi_thold2
P4C1T8	c1_ST5	2	umi_thold2
P4C1T8	c1_ST6	2	umi_thold2
P4C1T8	c2_ST1	2	umi_thold2
P4C1T8	c2_ST2	2	umi_thold2
P4C1T8	c2_ST5	2	umi_thold2
P4C1T8	c2_ST6	2	umi_thold2
P4C1T8	c3_ST1	2	umi_thold2
P4C1T8	c3_ST2	2	umi_thold2
P4C1T8	c3_ST5	2	umi_thold2
P4C1T8	c3_ST6	2	umi_thold2
P4C1T8	c4_ST1	2	umi_thold2
P4C1T8	c4_ST2	2	umi_thold2
P4C1T8	c4_ST5	2	umi_thold2
P4C1T8	c4_ST6	2	umi_thold2
P4C1T8	c5_ST1	2	umi_thold2
P4C1T8	c5_ST2	2	umi_thold2
P4C1T8	c5_ST4	2	umi_thold2
P4C2T4T5	ST1	3	umi_thold3
P4C2T4T5	ST2	3	umi_thold3
P4C2T4T5	ST4	3	umi_thold3
P4C2T4T5	ST5	3	umi_thold3
P4C2T4T5	ST6	3	umi_thold3
P4C1T8	c1_ST1	3	umi_thold3
P4C1T8	c1_ST2	3	umi_thold3
P4C1T8	c1_ST5	3	umi_thold3
P4C1T8	c1_ST6	3	umi_thold3
P4C1T8	c2_ST1	3	umi_thold3
P4C1T8	c2_ST2	3	umi_thold3
P4C1T8	c2_ST5	3	umi_thold3
P4C1T8	c2_ST6	3	umi_thold3
P4C1T8	c3_ST1	3	umi_thold3
P4C1T8	c3_ST2	3	umi_thold3
P4C1T8	c3_ST5	3	umi_thold3
P4C1T8	c3_ST6	3	umi_thold3
P4C1T8	c4_ST1	3	umi_thold3
P4C1T8	c4_ST2	3	umi_thold3
P4C1T8	c4_ST5	3	umi_thold3
P4C1T8	c4_ST6	3	umi_thold3
P4C1T8	c5_ST1	3	umi_thold3
P4C1T8	c5_ST2	3	umi_thold3
P4C1T8	c5_ST4	3	umi_thold3
